staff_id,restaurant_id,start_persona,final_persona,total_days,exit_day
b44868ccbbb7e18280e36b1691b3bfc779824938,102,overwhelmed_rookie,exit,10,10
41b1b8ba797321857ce34185db55d10165eba1ad,102,enthusiastic_rookie,exit,46,46
b27ee9c7b9a3595ef22e98165ec6f98e1708dbb3,102,snarky_rookie,exit,218,218
49daf35b907d1c0d1c608cde89604804f9d7d56f,102,workhorse,exit,90,90
83d8f8c141522d1e3ffcfa77871d25443b231703,102,workhorse,quiet_pro,365,
cd1b61e88d1ec9734ccc34f9e7d32fd0a888d7b8,102,workhorse,quiet_pro,365,
61272032e023321d8d825e205725a592142bc156,102,enthusiastic_rookie,quiet_pro,365,
44268bd1319803b591689a875fd5728eaee57ff8,102,overwhelmed_rookie,exit,12,12
68e1ad173e89b87b9c5bc4984304ec3a0eecdeeb,102,workhorse,quiet_pro,365,
335837900e16e85bbe7e0c4b52435da8241c30b2,102,overwhelmed_rookie,exit,69,69
d5cc03c76902e6beeb27b7371a1efa4f94045be0,102,social_glue,exit,88,88
844d0b473e2a2053f4c83679a5c989617bc5e1f2,102,lazy_rookie,exit,1,1
35360f2abd5e9de2e0328c7148e7d2ed1caa71f5,102,workhorse,exit,1,1
86b3fb54ee28db373e3ec4829161bd891134b15b,102,enthusiastic_rookie,quiet_pro,365,
abe4f8527792af2a674dc75b4908caf9c4a14c5e,102,social_glue,quiet_pro,365,
682e05a36778d4f5370fe3e361b5ce0147cdacda,102,enthusiastic_rookie,quiet_pro,365,
7e0af2495c56e0e0ae3e145c2a6f93105944580a,102,lazy_rookie,exit,14,14
e472ea6399f0ab21ae30cfaeb7aa6ff2c9461e3a,102,social_glue,exit,1,1
685a72aa0c2445284b997f4420501bd052404d95,102,lazy_rookie,exit,23,23
df003ee4777887c5077da31c3fb68da4acac133d,102,social_glue,exit,278,278
648996a7ace0db185a758b8595b773ef46893bec,102,burned_idealist,exit,5,5
5a2af80fd9a5bb80b24669625df31509340b7e96,102,burned_idealist,exit,67,67
25f10560e3b9ec4ba3baef9c35c0c4b16a9ee808,102,snarky_rookie,exit,1,1
429ea3fafa667fe9136eda7401eb47c5a00a9aa7,102,emerging_leader,quiet_pro,365,
037c52e606a30c85d5390e5dcc0d8eba94f12ab2,102,workhorse,quiet_pro,365,
8be4ff1a8638b15989f34217ac0c3d8be7d3745a,102,flight_risk_veteran,exit,1,1
9d0eb750515e7b6e879bcf922af6daa4f2c8960c,102,workhorse,quiet_pro,365,
62f04e9ad8742905300302d04b6290dfe29e4c80,102,workhorse,exit,148,148
4352d47fc35ebf1ef98f944f19e276d7a4566cf5,102,workhorse,exit,6,6
ddcdffc854367301e6050c943687a72163c80caa,102,lazy_rookie,exit,1,1
0a982b5cab765a66f27216cdea6ed39aa7936b82,102,burned_idealist,exit,1,1
26bad88d2e105ed1551afd431ff7ba4850c1849f,102,enthusiastic_rookie,exit,76,76
33ad91391a66aae9eb315f8ba8e336ab06726264,102,snarky_rookie,exit,12,12
be4970700a59f19e3b14d26dc4ce7930ed3ef345,102,enthusiastic_rookie,exit,91,91
d1bd39ceb086befc0ae17e2a053a50ac297e188c,102,enthusiastic_rookie,quiet_pro,365,
34e2729b337de98d5b8715ad056507b66de8f299,102,ghoster_in_training,exit,20,20
a07a283e461324cf7886e4e91f67668d062b3642,102,lazy_rookie,exit,1,1
73351610801feaae729c2558f619e4c944cf6f5c,102,snarky_rookie,exit,1,1
b2e93059d5fda11bd1199afadda0ece718f3f8e1,102,overwhelmed_rookie,exit,42,42
06c07cccc0e7231062bba379a436986317e98225,102,enthusiastic_rookie,exit,1,1
cbe20f22f1101d26cce890bceae948d381d4edf0,102,overwhelmed_rookie,exit,145,145
a8fc6794eb48c6cd330c065a1f377a9b473c1f8f,102,workhorse,quiet_pro,365,
2ecbdaa7e9ebdd9eb9bb30ea95a9d9d232e86ea4,102,lazy_rookie,exit,306,306
5fb799eb9931ef8dc33fc61656d4efdd909e506d,102,enthusiastic_rookie,quiet_pro,365,
0547fc99807f5808c0abfbb3867728da391a5ea0,102,workhorse,exit,87,87
606595274dc6c217d20b3ae1159c93fdb5e28147,102,workhorse,quiet_pro,365,
ec4148512c848cca2925b64bd9ff6c41f382b522,102,lazy_rookie,exit,1,1
94e11cfb5b5169c10431965882a104f40a5f9f49,102,enthusiastic_rookie,exit,9,9
8216849b98b71334a35a14e0c22035461be716b5,102,snarky_rookie,exit,1,1
bfb60e89e8f92ba2d756f95a7a3130d4a0bf1ac3,102,emerging_leader,exit,25,25
3ff23686ddf6229ec1c53baef8a890586271575f,102,enthusiastic_rookie,exit,9,9
b8b93571b09842cd7cae2963c520cc6e41a871f9,102,snarky_rookie,exit,1,1
ace51d76fc93cd7a90814170a8245571d65a7c5b,102,workhorse,exit,122,122
1f8409130d9509b5cfd976af5cccdd031c41dec5,102,snarky_rookie,exit,47,47
91c59af01a632ec9eb170fd4cea12f7070f1e231,102,workhorse,exit,58,58
82055e0eb9421bcafe70dcefb5958872a88667cf,102,enthusiastic_rookie,quiet_pro,365,
5dc97a55f474ad20b542cf4ce8cc4a83077caea6,102,enthusiastic_rookie,quiet_pro,365,
80b2d858f33462ed7d16c97a88abdc8926bd7d46,102,snarky_rookie,exit,23,23
0fedf98281b829530fbef7bf75b64cdaf7b68ab7,103,overwhelmed_rookie,exit,20,20
46a96f24092917cae9bf1a3b150a3812a512f92d,103,lazy_rookie,exit,13,13
593c965e0c375238cf655c33b5084d14a64d17c2,103,snarky_rookie,snarky_rookie,365,
1d2b2c7c00fd2d96176b4eba5c38491be560c76e,103,overwhelmed_rookie,exit,1,1
dc7418906b1508eb9d03d07a4c730a70653d762e,103,flight_risk_veteran,exit,94,94
ce9ee00e3c8c010cc055a7ed979f9034679d75c6,103,lazy_rookie,lazy_rookie,365,
07c8165de8c44625c200858361f7bcd9913b632f,103,enthusiastic_rookie,quiet_pro,365,
7f7bb6b0d4fb612c13fbf74e74d1b8de42871729,103,emerging_leader,exit,66,66
0330ee39e95f4488346f67c32353fa122b4db999,103,enthusiastic_rookie,quiet_pro,365,
8a8a972a5dcdda8ce4100bcfaf0c9f63671894b1,103,ghoster_in_training,exit,90,90
3bc06e0468499e49157801d23db950b00085f8ec,103,workhorse,exit,24,24
3ae10df55ee5acdcfdb2cc002fb4a56621a971bc,103,enthusiastic_rookie,quiet_pro,365,
56ebf54cdbcd6526bb1d3bd7c9b0c54cfe434c5b,103,lazy_rookie,exit,1,1
f5a91683f87210f83902dd4bda20c2791bb9bd67,103,lazy_rookie,exit,15,15
600a20e66175bfab0e8958fd43d31d98b60bd4e3,103,workhorse,exit,356,356
6eba8e958f2ceb5b1d9f8b2fc39e01404f566918,103,enthusiastic_rookie,quiet_pro,365,
2b870a40b1459e6a0ac42f2343b971f98fe69bd0,103,social_glue,quiet_pro,365,
edf4bb48ab4566b65564395367cb66e8c5ae8e4e,103,workhorse,quiet_pro,365,
6b993fbe6a57d4977ae317dcbb05034519a268e3,103,cynical_anchor,cynical_anchor,365,
c68b021a2b99f81603e11f2cac3011d8c236e2ad,103,snarky_rookie,exit,58,58
70a108c12204a2951e09a9919d6ff9cc0c12432b,103,snarky_rookie,exit,90,90
4713784ea0b256ce870d8694b866faee28d9018d,103,enthusiastic_rookie,exit,14,14
1a965a10c1519326d59e9decf644b4160a6340e9,103,enthusiastic_rookie,exit,225,225
4df262bf5945cc669e15b364e21c6198e5b90829,103,workhorse,quiet_pro,365,
0c432b4d6e24c50d0ebd79169ea4b3a17fb33b73,103,burned_idealist,exit,1,1
88709e3bc5ec51af6fed04bc7282fbfc2e54c718,103,ghoster_in_training,exit,1,1
2be5866a87201428b23056322149d5d9da58b0e0,103,burned_idealist,exit,1,1
2f5456c99b1ac03da5ecba8003d64c1fde7e59c4,103,snarky_rookie,exit,1,1
be6abdf21ca4e1cbf8640c317162c7c0f519a142,103,snarky_rookie,exit,7,7
6babef9dfee04ca6b6555b03bce70595943408bd,103,snarky_rookie,exit,1,1
e3255f40d630fdc93dcd7af264cfb7b0d5136e15,103,ghoster_in_training,exit,1,1
1162b4c69e148e47aad515e1fb523d2ae563b15a,103,lazy_rookie,exit,40,40
477a05bd134a103c777fed43c91906b6ec240072,103,emerging_leader,exit,7,7
df08c9c347cb59c6adc5dc376aa9477d95b913f8,103,overwhelmed_rookie,exit,87,87
499d1b900d08facde1fa4d408add5f86f7a691ed,103,ghoster_in_training,exit,1,1
838c9adcfae468f41938d3ee903cc68b8290e37a,103,enthusiastic_rookie,quiet_pro,365,
725181fab217e6fff89887eb74cef15bb581edb1,103,enthusiastic_rookie,quiet_pro,365,
721cab69413e291962fe99cdf2b3a8d5c2ba2ff0,103,emerging_leader,quiet_pro,365,
9847c982b3b031fb94579b1caf22d33c4e0f5b8a,103,snarky_rookie,exit,26,26
b3b219463bacbd2ba97a7b1d1d033744d180fbbc,103,enthusiastic_rookie,exit,20,20
1d701ca8320e4e493e252fdaa18ab34e1683dfa4,104,social_glue,quiet_pro,365,
7f92010bad91a99e47936ceda602ac885d7106b5,104,workhorse,quiet_pro,365,
96dc478479b08bb754d950500a3522a5aec514c7,104,enthusiastic_rookie,quiet_pro,365,
81eda7f92aa521ee1ad9b5d9ddfd28b83063f627,104,emerging_leader,exit,71,71
cc103aa1b3dde01ae0123f217b3acfc4cca4d58c,104,workhorse,exit,1,1
1151d83f3fc9c333855b8ddc912093a7c57d5d20,104,enthusiastic_rookie,quiet_pro,365,
71c23a98a460f043115de1ba221666ef17a036dd,104,enthusiastic_rookie,exit,68,68
e617d461b816bd8d01822ddcdf117d45ac2574b6,104,enthusiastic_rookie,exit,10,10
5f7c3e6ee799464e98047d7197d68f517321dbee,104,workhorse,exit,1,1
d6d513ebcccd7f93d6761d7e399dae9350f29a31,104,social_glue,exit,15,15
3d21e901ae19c2c4d980554b24365d857b13e4ae,104,enthusiastic_rookie,quiet_pro,365,
30c7941d0572730cf318e559dca4bab380689241,104,workhorse,exit,1,1
e0239d4f56371967e603a680319cd0840160407d,104,social_glue,exit,62,62
042b00c56cb91afe181d715e77dcab7b3b1d73be,104,burned_idealist,exit,1,1
b51a7a4b9eb61d26e9d3a9d645bae944760fadf3,104,enthusiastic_rookie,quiet_pro,365,
0e500429aa39447edcf4bb4d445d4eba62de76e2,104,enthusiastic_rookie,quiet_pro,365,
e598105d53e4dc7c373c21e2e60f3508650c6dd0,104,overwhelmed_rookie,exit,51,51
82eba8264dc2286ff2fc48a3c352628cea0b2bdf,104,workhorse,quiet_pro,365,
1ec960fd8e4fc03340d4c80f78511443ba473757,104,lazy_rookie,lazy_rookie,365,
b7295bcee935f765c722c8ec9d215823ceaf27df,104,enthusiastic_rookie,exit,15,15
e829738f7b2c3568b2094e25de6a6542c64a4965,104,ghoster_in_training,exit,40,40
d089b99336075923299a23cc323d27af4f678c56,104,snarky_rookie,exit,1,1
5b333a6d28c7c45a348f66086a2cf59f7b536b26,104,enthusiastic_rookie,quiet_pro,365,
613526a869ac5b8dc12c03a8302a4d43e01f7d77,104,workhorse,quiet_pro,365,
41b0c79c0b48d77b94374297c7d9f439112fa72c,104,workhorse,quiet_pro,365,
e7cef9c3d6ff529e7fcee2dc2b50605188d07b2e,104,lazy_rookie,exit,214,214
07f2c3abf9997bad8a3c7af7293f207298d659d0,104,enthusiastic_rookie,exit,30,30
2bece8f649330a49f7d4eba64063e198dccee5f5,104,overwhelmed_rookie,exit,1,1
0a65c1971f6913a0b5d4f4e23f202bf77bb1b850,104,enthusiastic_rookie,quiet_pro,365,
0dd146d6c84c730a2aec6b98955f7b1ecc40bde6,104,burned_idealist,exit,43,43
a5e20f31b83092bc3562f4567cd19a42ea269639,104,enthusiastic_rookie,quiet_pro,365,
3898566cf4334f9f5d28b7a46fb28d6f67e42a18,104,snarky_rookie,exit,172,172
458ebe4b6c8c775dd0ff0ff2986cd8062a84e4e3,104,snarky_rookie,snarky_rookie,365,
8d37557bb7a84e554d3436bb04e479892a430695,104,quiet_pro,quiet_pro,365,
b09a4c11f2a6f32cffb9584621b3a68b4ce4af4c,104,lazy_rookie,exit,25,25
e1f70609cd6867dddf14ebb586214d92e8fb9123,105,enthusiastic_rookie,exit,49,49
d7b629da391fc5d79d41daf6d81c11c5626cbbf4,105,enthusiastic_rookie,exit,1,1
d963e8884e3f313aeb1ca30fc06a8f308565138e,105,emerging_leader,exit,1,1
aed113056b10f05cb6deff1d63f7c31020835c59,105,enthusiastic_rookie,exit,70,70
d852c31f3ca54a10295c78e28a7c79f629b9c96f,105,ghoster_in_training,exit,16,16
a3acbba444b1189fba3819fc77081be643c12dc9,105,workhorse,quiet_pro,365,
91661b6e59a06f1256487096286db432d566e968,105,snarky_rookie,snarky_rookie,365,
6289bcf78d3c92b74a8ec0cb388686f35cc73a7d,105,enthusiastic_rookie,quiet_pro,365,
dcef63f6c113dd92162aafc755eb8846a9151de8,105,overwhelmed_rookie,exit,13,13
0c261d28a6180bc8dfbc6122856dec525330c684,105,lazy_rookie,exit,349,349
062588019d4c66cfe4841e7b375116a64bd401c3,105,burned_idealist,exit,1,1
1594d18f8cd602f4359c89d71de9152c01a3b172,105,snarky_rookie,snarky_rookie,365,
84c40358f75a55e5ee67494cf2344cdbe8f09b82,105,snarky_rookie,exit,48,48
c2374b93cebf5a7c574a23f9e4043bb376c437e5,105,social_glue,exit,241,241
8187c7ec4e06d19058bfec36adbe4fa1e77fcde1,105,enthusiastic_rookie,quiet_pro,365,
3a452432535bd060d110b2f7f7bb050d31d813bc,105,lazy_rookie,exit,1,1
3e424a22cbeb073c400d1887c11ca6188023e41e,105,snarky_rookie,exit,111,111
5c4e8ee048272ba9deefc63dc771de3b4b63c9be,105,enthusiastic_rookie,exit,19,19
7c854d72170b70724a6ea7a894cb8360585db9c0,105,snarky_rookie,snarky_rookie,365,
8aff06263c4aded7e4406d93f3342fe8821851ac,105,lazy_rookie,exit,1,1
f950e024e08dfe7e905c91209418a1715697e4e7,105,lazy_rookie,exit,1,1
eaf3f9b28a4ef8bfec55e6b29c09495be139d598,105,ghoster_in_training,exit,213,213
b6c0e511abcfb5eb19ceb6deddbaf28771bb6303,105,snarky_rookie,snarky_rookie,365,
7cf323504bf784c8d7caa8655d110801e595a8a2,105,enthusiastic_rookie,exit,20,20
3f5d472fa8940d870449b337654dd76f88602d20,105,snarky_rookie,exit,1,1
bc495666955e74efe1cd49538a1f710f57cf6c36,105,overwhelmed_rookie,exit,29,29
05cd4dacb86dfb2229eb680a3d7ce681e83e2288,105,quiet_pro,exit,143,143
4d458f3432c73d773184ac73a1c6f9471990668a,105,enthusiastic_rookie,quiet_pro,365,
22cc02f48b7212833698f0146d65fee071986c47,105,social_glue,quiet_pro,365,
5ed4a29e91eeb51838940562f3ded99706ed1350,105,overwhelmed_rookie,cynical_anchor,365,
0fd066408c1dea40cd54402b5479d7bfbc71cec4,105,enthusiastic_rookie,exit,39,39
b3bf4a50a6481ac70a8b834835949408f74604c2,105,workhorse,quiet_pro,365,
4be0e142e5648e68bd5b2c4418410a25bce8a6db,105,enthusiastic_rookie,exit,350,350
fbbb5e08c0168ee91831b8e71e47060e199fcf3a,105,emerging_leader,quiet_pro,365,
9b04574f5337baf02948e226f84671e82a0f6d61,105,snarky_rookie,exit,23,23
e56628b73fa9771917985eaa40bc39d79d01aed3,105,lazy_rookie,exit,2,2
c2864beaea79afa524f835bb59a4a44def36ca6a,105,enthusiastic_rookie,exit,1,1
41edcfa15ab30fe96990936f460f3d40a02da32c,105,workhorse,exit,6,6
3685b88b3f50c993582c64b7e2e799d88d358de2,105,emerging_leader,quiet_pro,365,
39b0b6688ddfcf5eb9dc654ac482e932326f6696,105,emerging_leader,quiet_pro,365,
2fcbdc4fb9ee9983fb901a0b6576ef8f7c9df28c,105,snarky_rookie,exit,8,8
deee6c2eb72e87b4116e0f711404dd2b61367358,105,enthusiastic_rookie,quiet_pro,365,
2e609fde6cbaa7942fa47bc99693ee78e9dbb20c,105,lazy_rookie,lazy_rookie,365,
c9e5480798236b7d6e1edc4fdd1fe52e89467a22,105,enthusiastic_rookie,exit,349,349
8e0d086c98d0d4f14fe0824c12719a8197659a98,105,overwhelmed_rookie,cynical_anchor,365,
1e5e298ad76bf76a721db8193ea05e7ab0e0318a,105,enthusiastic_rookie,quiet_pro,365,
eb3b582592329ac9a39967eb857c18eebaf1d9e5,105,workhorse,exit,163,163
56e713397aac85a96154621237c8a879a38db194,105,snarky_rookie,exit,1,1
f2bb9253aeaa408a03854f36cf4b0ec714ce12cf,105,snarky_rookie,exit,17,17
df17e6be8c64a21a784a2d0e1e1e46e9e01b4c8a,105,ghoster_in_training,exit,1,1
40de654c2ede4486157b5e8801b95e91c4e5d0cd,105,lazy_rookie,exit,59,59
5ae31f898137828c28fec86aeb181084eb490dde,105,workhorse,quiet_pro,365,
4bfa08c0328112d736c1b19c9e8b977f2257d5ee,105,enthusiastic_rookie,exit,92,92
3f6def3006d6eacfd2b7b7067bea441895bad0e1,105,snarky_rookie,exit,30,30
3675c9ac81b63dff101d4afa1218d5be8a062821,105,enthusiastic_rookie,quiet_pro,365,
7d02f2e6b2e8b23b46093dabbbf09dd298ad1ae8,106,emerging_leader,exit,32,32
d87854cb625c0e4d9bc7cf08968a567bcf1e7cbb,106,enthusiastic_rookie,exit,27,27
135efce09e38a556ebc14a956c330afa5daeaca1,106,workhorse,exit,85,85
7691e4546758b843b3b50023df7e671863ba8d21,106,enthusiastic_rookie,quiet_pro,365,
c519fcc44fdee4d2f04930d12253f66cb3534b4d,106,snarky_rookie,exit,30,30
4e52a1e2a4df8958d7fb2671441797ebf047eb9a,106,lazy_rookie,exit,1,1
36da387391f765ba8759656da37547a7b0dab07e,106,workhorse,quiet_pro,365,
013ccaf7d722fa805ea90874a3de5e872fa3db6b,106,workhorse,exit,6,6
ed7542d8b808e8e42c12de2f737cd4fdab06d941,106,cynical_anchor,exit,1,1
eabf37cc8f0c5d7ca5745aecacf91411a9d2f415,106,overwhelmed_rookie,exit,1,1
d43779ed0df92391a72a2fcf75704c397b193365,106,enthusiastic_rookie,exit,29,29
5bee1b83df75e5e026cdaa2b9a1ed9c053c7d2af,106,burned_idealist,exit,1,1
ec46c77fe53e1e89f9c0efd195953fd3e0146b73,106,social_glue,exit,66,66
96e21252ead92aef8421e03085212c4ba97d29a3,106,lazy_rookie,exit,78,78
f947feb1f9f73bd21f4a62f390ce4b651fb6b287,106,snarky_rookie,exit,1,1
f5445824f4993189ef4b5d719eade960b0af1501,106,burned_idealist,exit,12,12
5790b46b7feedc35f1042d7446501dc0cd12eb01,106,workhorse,quiet_pro,365,
12008a8d7594a6d121ac0c929ddefaa78b3dabb3,106,workhorse,exit,1,1
3fa7b0ea862021d8e7b0a57e6098a484ac329eb5,106,snarky_rookie,exit,50,50
0e45ff680a3db002c14b4940f700556f3f4d1e22,106,burned_idealist,exit,1,1
84e6fb1eebdd00b15d8c2299b4060db7f2d4e026,106,lazy_rookie,exit,118,118
3460cd3545aff893a6910df2ec3f19b4c19a813a,106,snarky_rookie,exit,1,1
43057373dc7d9062686e10d1c12640c5be2afa49,106,social_glue,exit,1,1
3ec7301ae962a08636d35d7ae71ea81a0c6af70a,106,snarky_rookie,exit,9,9
f2e1e4125f38a2b9622eaf8fba344e044b327761,106,social_glue,exit,55,55
19c16bac50cc4ee08de148d74a640de069a068de,106,snarky_rookie,exit,1,1
813ec1e8812441ee7aab9661cfb526f7e44baf1b,106,overwhelmed_rookie,exit,1,1
a2ac4f956334740e4ffaeeae7b4d045613bc06c9,106,lazy_rookie,exit,27,27
5a9e6789700feaa3a0d115d9eb08bd726858e116,106,workhorse,exit,34,34
b06cb55b54dcb9585f4fbf622587b4d7ed7147c1,106,workhorse,quiet_pro,365,
9ec3a0796264d7f756d88ee24dfa64278116077b,107,emerging_leader,exit,76,76
3c4dc3d56024cd7d31ca8032b3a7da4fbcd033f7,107,burned_idealist,exit,1,1
4e17e9a3a5c765fb2cef1af87513e3cccf56f599,107,snarky_rookie,exit,24,24
b97fcd8794ab8cf7aeb1813dfeb9d3fb510f8169,107,lazy_rookie,exit,1,1
17a869a6925494805c51f302315242923c475087,107,enthusiastic_rookie,quiet_pro,365,
69e3dfbba81bc726b73d7237c5601bda9ddb1a40,107,snarky_rookie,exit,1,1
2c3c441936c3bbac0836302f7c9c8ceef9371a8f,107,overwhelmed_rookie,exit,1,1
dc52474c4ceb03be31ff0937d9fb25c19962b5fc,107,social_glue,quiet_pro,365,
40fd8fe1ae041bc7a4d93f68fd315909c96c5404,107,enthusiastic_rookie,quiet_pro,365,
45d156a7e8eddabb421d30686c75d1ef2e747f18,107,lazy_rookie,exit,16,16
2e6f71c1c0f9ad45b0231df48ebe5c22c0f8c9a7,107,workhorse,exit,1,1
ef9596a09efe585a8c68c9fae6baec929ed318fa,107,burned_idealist,exit,32,32
f1f83dab5d638a37e9a84334e98d4f55012b12dc,107,social_glue,exit,8,8
7af1c70dc50faf557fbd23713b209f29847986c0,107,burned_idealist,exit,1,1
c290c5915c82ae1c296b23acd6dc02c9e937f41c,107,enthusiastic_rookie,quiet_pro,365,
45d418d3d069c3706ec27bb24492a4169fe0c00c,107,workhorse,exit,68,68
bcb20e8e8e017ff1be3fd10cdfa2b2fefcc4d4ff,107,snarky_rookie,exit,35,35
3806d9039b1573915eb724deb4ce0663ef641195,107,enthusiastic_rookie,quiet_pro,365,
20d47d6988aa1243fe5f2d030fbf3cb5542ab4e9,107,enthusiastic_rookie,exit,24,24
d5533546f6cef2389219c6cfdb4de0e85765fb57,107,snarky_rookie,exit,9,9
03f6c0ca7a6d57988db222594f3f70cc1d0f0737,107,enthusiastic_rookie,exit,39,39
70ad8e97d96d15a544ce93d3172fcbedea742ba3,107,overwhelmed_rookie,exit,12,12
5d559411e820143e2374b2cea41fa91a9a4200e4,107,lazy_rookie,lazy_rookie,365,
a4d30d11e8c21a1a6924a36fa74b9d28249f35e8,107,lazy_rookie,exit,71,71
929c71de48ebb5c9a1897946b1ef995aacbb7130,107,workhorse,quiet_pro,365,
7c3c3fab75ec17928acd110e1014edccf710435b,107,ghoster_in_training,exit,8,8
14f068fdb5b40691600465539bf285a060941ab4,107,enthusiastic_rookie,quiet_pro,365,
311503f5e4b391971adca52f10383b9b759ede64,107,lazy_rookie,exit,1,1
8beb6a61b62a27b32577e43e07a138dff1972214,108,enthusiastic_rookie,exit,37,37
1bba6f0fa2bd9618580c7118856c62a43d9178e0,108,enthusiastic_rookie,quiet_pro,365,
7d6a6e3ad860f671d55c38c69b1843b56927e586,108,lazy_rookie,exit,64,64
b1ebd46df5beba816045d95315aa925dc1b0b15b,108,ghoster_in_training,exit,15,15
a04cbad8259d85ed72968bac7c4ba226d97be101,108,social_glue,exit,52,52
b52fd231f4e40b77b63d71299fd86f98a1cd6b1a,108,enthusiastic_rookie,quiet_pro,365,
c4192f3826805f1bad29cc6e1ffb5048b1c058e7,108,overwhelmed_rookie,exit,1,1
