restaurant_id,profile_key,label,headcount,national_avg,national_range,source,pre_avg_turnover,post_annualized,rolling_at_182,post_exits,post_days,improvement_pct,rates_cw,rates_ew,rates_ce,rates_ee,l1_original_count,l1_pre_exits,l1_pre_retention,l1_post_at_risk,l1_post_exits,l1_post_retention,l2_pre_eligible,l2_pre_survived,l2_pre_survival,l2_post_eligible,l2_post_survived,l2_post_survival,l3_pre_count,l3_pre_exits,l3_pre_retention,l3_post_count,l3_post_exits,l3_post_retention
119,hotel_restaurant,Hotel Restaurant,53,78,75-80%,"Cornell Hotel School, BLS",76.3,60.4,58.5,64,730,15.9,0.006919,0.001384,0.004562,0.000912,53,40,24.5,13,7,46.2,116,63,54.3,61,37,60.7,63,46,27.0,37,9,75.7
120,family_diner,Family Diner,26,78,75-80%,NRA,77.5,71.2,73.1,37,730,6.3,0.006789,0.001358,0.00575,0.00115,26,24,7.7,2,1,50.0,64,33,51.6,33,17,51.5,33,22,33.3,17,6,64.7
121,breakfast_cafe,Breakfast Cafe,23,78,75-80%,"NRA, Homebase",145.1,102.2,113.0,47,730,43.0,0.00857,0.001714,0.006047,0.001209,23,20,13.0,3,2,33.3,75,36,48.0,44,23,52.3,36,32,11.1,23,7,69.6
122,upscale_casual,Upscale Casual,56,75,70-80%,Black Box Intelligence,93.8,33.0,73.2,37,730,60.8,0.006641,0.001328,0.003969,0.000794,56,47,16.1,9,4,55.6,128,69,53.9,31,24,77.4,69,44,36.2,24,4,83.3
123,neighborhood_bistro,Neighborhood Bistro,30,75,70-80%,NRA,102.0,93.3,76.7,56,730,8.6,0.006789,0.001358,0.00575,0.00115,30,20,33.3,10,6,40.0,70,30,42.9,47,22,46.8,30,22,26.7,22,10,54.5
124,steakhouse,Steakhouse / Fine Dining,46,60,50-70%,Cornell Hotel School,66.8,39.1,30.4,36,730,27.6,0.006344,0.001269,0.004414,0.000883,46,31,32.6,15,8,46.7,75,46,61.3,32,22,68.8,46,30,34.8,22,2,90.9
125,fast_casual,Fast Casual / QSR,39,130,100-150%,"NRA, QSR Magazine",119.5,56.4,123.1,44,730,63.0,0.009902,0.00198,0.004562,0.000912,39,35,10.3,4,0,100.0,145,56,38.6,37,20,54.1,56,41,26.8,20,6,70.0
126,high_volume_chain,High Volume Chain,80,100,100%+,"BLS, Black Box Intelligence",103.4,49.4,87.5,79,730,54.0,0.009016,0.001803,0.005156,0.001031,80,68,15.0,12,5,58.3,238,102,42.9,66,39,59.1,102,65,36.3,39,13,66.7
127,college_town_cafe,College Town Cafe,43,90,90%+,BLS (seasonal/student workforce),155.8,81.4,88.4,70,730,74.4,0.00857,0.001714,0.00575,0.00115,43,39,9.3,4,2,50.0,164,58,35.4,63,34,54.0,58,44,24.1,34,12,64.7
128,airport_restaurant,Airport Restaurant,67,82,80%+,BLS (transient labor market),61.1,49.3,58.2,66,730,11.8,0.006938,0.001388,0.004562,0.000912,67,59,11.9,8,7,12.5,131,75,57.3,61,38,62.3,75,41,45.3,38,11,71.1
129,sports_bar,Sports Bar,65,78,75-80%,"NRA, 7shifts",68.6,54.6,52.3,71,730,13.9,0.006678,0.001336,0.004377,0.000875,65,44,32.3,21,15,28.6,111,69,62.2,57,38,66.7,69,47,31.9,38,12,68.4
130,bar_and_grille,Bar & Grille,68,78,75-80%,"NRA, Black Box Intelligence",60.3,42.6,52.9,58,730,17.7,0.006789,0.001358,0.004562,0.000912,68,52,23.5,16,9,43.8,107,66,61.7,50,36,72.0,66,42,36.4,36,7,80.6
131,hotel_restaurant,Hotel Restaurant,56,78,75-80%,"Cornell Hotel School, BLS",75.6,36.6,57.1,41,730,39.0,0.006919,0.001384,0.004562,0.000912,56,43,23.2,13,7,46.2,111,66,59.5,35,24,68.6,66,38,42.4,24,6,75.0
132,family_diner,Family Diner,34,78,75-80%,NRA,59.4,50.0,44.1,34,730,9.4,0.006789,0.001358,0.00575,0.00115,34,29,14.7,5,2,60.0,58,39,67.2,30,21,70.0,39,26,33.3,21,6,71.4
133,breakfast_cafe,Breakfast Cafe,25,78,75-80%,"NRA, Homebase",79.8,54.0,76.0,27,730,25.8,0.00857,0.001714,0.006047,0.001209,25,22,12.0,3,1,66.7,59,32,54.2,22,17,77.3,32,23,28.1,17,6,64.7
134,upscale_casual,Upscale Casual,58,75,70-80%,Black Box Intelligence,76.4,31.0,55.2,36,730,45.4,0.006641,0.001328,0.003969,0.000794,58,43,25.9,15,5,66.7,103,63,61.2,34,23,67.6,63,33,47.6,23,7,69.6
135,neighborhood_bistro,Neighborhood Bistro,30,75,70-80%,NRA,65.1,38.3,76.7,23,730,26.8,0.006789,0.001358,0.00575,0.00115,30,25,16.7,5,1,80.0,62,30,48.4,23,14,60.9,30,17,43.3,14,2,85.7
136,steakhouse,Steakhouse / Fine Dining,54,60,50-70%,Cornell Hotel School,76.6,74.1,75.9,80,730,2.5,0.006344,0.001269,0.004414,0.000883,54,43,20.4,11,9,18.2,117,67,57.3,68,43,63.2,67,56,16.4,43,10,76.7
137,fast_casual,Fast Casual / QSR,47,130,100-150%,"NRA, QSR Magazine",118.9,27.7,63.8,26,730,91.3,0.009902,0.00198,0.004562,0.000912,47,40,14.9,7,0,100.0,144,59,41.0,24,21,87.5,59,35,40.7,21,7,66.7
138,high_volume_chain,High Volume Chain,71,100,100%+,"BLS, Black Box Intelligence",95.8,52.8,84.5,75,730,43.0,0.009016,0.001803,0.005156,0.001031,71,64,9.9,7,4,42.9,210,99,47.1,66,44,66.7,99,71,28.3,44,12,72.7
139,college_town_cafe,College Town Cafe,34,90,90%+,BLS (seasonal/student workforce),98.8,50.0,67.6,34,730,48.8,0.00857,0.001714,0.00575,0.00115,34,27,20.6,7,3,57.1,93,47,50.5,31,24,77.4,47,33,29.8,24,11,54.2
140,airport_restaurant,Airport Restaurant,65,82,80%+,BLS (transient labor market),72.9,47.7,49.2,62,730,25.2,0.006938,0.001388,0.004562,0.000912,65,50,23.1,15,9,40.0,154,76,49.4,55,38,69.1,76,48,36.8,38,12,68.4
141,sports_bar,Sports Bar,59,78,75-80%,"NRA, 7shifts",62.4,44.1,67.8,52,730,18.3,0.006678,0.001336,0.004377,0.000875,59,45,23.7,14,4,71.4,111,66,59.5,50,33,66.0,66,46,30.3,33,6,81.8
142,bar_and_grille,Bar & Grille,61,78,75-80%,"NRA, Black Box Intelligence",76.8,51.6,59.0,63,730,25.1,0.006789,0.001358,0.004562,0.000912,61,47,23.0,14,8,42.9,124,69,55.6,60,36,60.0,69,45,34.8,36,8,77.8
143,hotel_restaurant,Hotel Restaurant,50,78,75-80%,"Cornell Hotel School, BLS",81.3,56.0,64.0,56,730,25.3,0.006919,0.001384,0.004562,0.000912,50,41,18.0,9,4,55.6,113,59,52.2,50,31,62.0,59,43,27.1,31,8,74.2
144,family_diner,Family Diner,32,78,75-80%,NRA,98.7,62.5,96.9,40,730,36.2,0.006789,0.001358,0.00575,0.00115,32,22,31.2,10,4,60.0,68,34,50.0,36,20,55.6,34,25,26.5,20,7,65.0
145,breakfast_cafe,Breakfast Cafe,30,78,75-80%,"NRA, Homebase",109.1,60.0,83.3,36,730,49.1,0.00857,0.001714,0.006047,0.001209,30,28,6.7,2,1,50.0,80,42,52.5,30,20,66.7,42,33,21.4,20,6,70.0
146,upscale_casual,Upscale Casual,56,75,70-80%,Black Box Intelligence,95.1,33.0,60.7,37,730,62.1,0.006641,0.001328,0.003969,0.000794,56,42,25.0,14,4,71.4,118,62,52.5,35,27,77.1,62,39,37.1,27,6,77.8
147,neighborhood_bistro,Neighborhood Bistro,31,75,70-80%,NRA,81.6,82.3,83.9,51,730,-0.7,0.006789,0.001358,0.00575,0.00115,31,24,22.6,7,6,14.3,56,36,64.3,43,23,53.5,36,25,30.6,23,9,60.9
148,steakhouse,Steakhouse / Fine Dining,45,60,50-70%,Cornell Hotel School,63.4,27.8,44.4,25,730,35.6,0.006344,0.001269,0.004414,0.000883,45,32,28.9,13,5,61.5,85,50,58.8,21,15,71.4,50,29,42.0,15,2,86.7
149,fast_casual,Fast Casual / QSR,45,130,100-150%,"NRA, QSR Magazine",164.8,45.6,106.7,41,730,119.3,0.009902,0.00198,0.004562,0.000912,45,41,8.9,4,3,25.0,188,80,42.6,39,24,61.5,80,57,28.7,24,5,79.2
150,high_volume_chain,High Volume Chain,78,100,100%+,"BLS, Black Box Intelligence",109.2,48.1,74.4,75,730,61.2,0.009016,0.001803,0.005156,0.001031,78,67,14.1,11,6,45.5,221,103,46.6,66,45,68.2,103,73,29.1,45,11,75.6
151,college_town_cafe,College Town Cafe,42,90,90%+,BLS (seasonal/student workforce),97.9,59.5,66.7,50,730,38.3,0.00857,0.001714,0.00575,0.00115,42,35,16.7,7,4,42.9,100,46,46.0,46,29,63.0,46,33,28.3,29,7,75.9
152,airport_restaurant,Airport Restaurant,73,82,80%+,BLS (transient labor market),65.3,37.0,37.0,54,730,28.3,0.006938,0.001388,0.004562,0.000912,73,54,26.0,19,8,57.9,130,78,60.0,45,27,60.0,78,46,41.0,27,4,85.2
153,sports_bar,Sports Bar,65,78,75-80%,"NRA, 7shifts",71.0,26.9,50.8,35,730,44.1,0.006678,0.001336,0.004377,0.000875,65,52,20.0,13,4,69.2,138,76,55.1,30,23,76.7,76,40,47.4,23,7,69.6
154,bar_and_grille,Bar & Grille,64,78,75-80%,"NRA, Black Box Intelligence",79.8,47.7,84.4,61,730,32.1,0.006789,0.001358,0.004562,0.000912,64,44,31.2,20,13,35.0,123,71,57.7,53,36,67.9,71,49,31.0,36,8,77.8
155,hotel_restaurant,Hotel Restaurant,57,78,75-80%,"Cornell Hotel School, BLS",85.0,48.2,87.7,55,730,36.8,0.006919,0.001384,0.004562,0.000912,57,45,21.1,12,7,41.7,134,69,51.5,48,36,75.0,69,49,29.0,36,10,72.2
156,family_diner,Family Diner,25,78,75-80%,NRA,81.7,36.0,52.0,18,730,45.7,0.006789,0.001358,0.00575,0.00115,25,19,24.0,6,1,83.3,56,25,44.6,17,12,70.6,25,16,36.0,12,2,83.3
157,breakfast_cafe,Breakfast Cafe,30,78,75-80%,"NRA, Homebase",95.4,60.0,50.0,36,730,35.4,0.00857,0.001714,0.006047,0.001209,30,26,13.3,4,1,75.0,94,40,42.6,34,20,58.8,40,28,30.0,20,7,65.0
158,upscale_casual,Upscale Casual,50,75,70-80%,Black Box Intelligence,43.4,40.0,26.0,40,730,3.4,0.006641,0.001328,0.003969,0.000794,50,37,26.0,13,11,15.4,76,51,67.1,32,27,84.4,51,27,47.1,27,10,63.0
159,neighborhood_bistro,Neighborhood Bistro,36,75,70-80%,NRA,89.6,54.2,86.1,39,730,35.4,0.006789,0.001358,0.00575,0.00115,36,31,13.9,5,4,20.0,95,44,46.3,36,25,69.4,44,28,36.4,25,9,64.0
160,steakhouse,Steakhouse / Fine Dining,53,60,50-70%,Cornell Hotel School,46.3,47.2,54.7,50,730,-0.9,0.006344,0.001269,0.004414,0.000883,53,39,26.4,14,9,35.7,83,52,62.7,46,26,56.5,52,29,44.2,26,5,80.8
161,fast_casual,Fast Casual / QSR,42,130,100-150%,"NRA, QSR Magazine",167.0,39.3,90.5,33,730,127.7,0.009902,0.00198,0.004562,0.000912,42,37,11.9,5,1,80.0,162,58,35.8,28,20,71.4,58,40,31.0,20,4,80.0
162,high_volume_chain,High Volume Chain,70,100,100%+,"BLS, Black Box Intelligence",128.3,50.7,100.0,71,730,77.6,0.009016,0.001803,0.005156,0.001031,70,65,7.1,5,3,40.0,245,104,42.4,63,41,65.1,104,74,28.8,41,10,75.6
163,college_town_cafe,College Town Cafe,34,90,90%+,BLS (seasonal/student workforce),98.4,70.6,105.9,48,730,27.8,0.00857,0.001714,0.00575,0.00115,34,29,14.7,5,2,60.0,92,48,52.2,35,22,62.9,48,38,20.8,22,10,54.5
164,airport_restaurant,Airport Restaurant,76,82,80%+,BLS (transient labor market),84.3,46.7,61.8,71,730,37.6,0.006938,0.001388,0.004562,0.000912,76,64,15.8,12,5,58.3,171,94,55.0,62,44,71.0,94,63,33.0,44,13,70.5
165,sports_bar,Sports Bar,64,78,75-80%,"NRA, 7shifts",82.5,43.0,67.2,55,730,39.5,0.006678,0.001336,0.004377,0.000875,64,44,31.2,20,7,65.0,117,67,57.3,48,32,66.7,67,45,32.8,32,9,71.9
166,bar_and_grille,Bar & Grille,67,78,75-80%,"NRA, Black Box Intelligence",64.4,54.5,62.7,73,730,9.9,0.006789,0.001358,0.004562,0.000912,67,48,28.4,19,9,52.6,140,74,52.9,67,40,59.7,74,53,28.4,40,9,77.5
167,hotel_restaurant,Hotel Restaurant,57,78,75-80%,"Cornell Hotel School, BLS",66.1,43.9,63.2,50,730,22.3,0.006919,0.001384,0.004562,0.000912,57,45,21.1,12,9,25.0,109,64,58.7,48,32,66.7,64,41,35.9,32,4,87.5
168,family_diner,Family Diner,27,78,75-80%,NRA,109.1,83.3,96.3,45,730,25.8,0.006789,0.001358,0.00575,0.00115,27,25,7.4,2,2,0.0,57,33,57.9,39,19,48.7,33,22,33.3,19,6,68.4
169,breakfast_cafe,Breakfast Cafe,26,78,75-80%,"NRA, Homebase",58.8,69.2,50.0,36,730,-10.4,0.00857,0.001714,0.006047,0.001209,26,20,23.1,6,4,33.3,55,27,49.1,34,22,64.7,27,20,25.9,22,7,68.2
170,upscale_casual,Upscale Casual,59,75,70-80%,Black Box Intelligence,85.2,27.1,50.8,32,730,58.1,0.006641,0.001328,0.003969,0.000794,59,41,30.5,18,3,83.3,108,55,50.9,26,23,88.5,55,32,41.8,23,7,69.6
171,neighborhood_bistro,Neighborhood Bistro,40,75,70-80%,NRA,96.9,46.2,77.5,37,730,50.7,0.006789,0.001358,0.00575,0.00115,40,33,17.5,7,4,42.9,104,51,49.0,29,18,62.1,51,35,31.4,18,5,72.2
172,steakhouse,Steakhouse / Fine Dining,53,60,50-70%,Cornell Hotel School,75.2,40.6,69.8,43,730,34.6,0.006344,0.001269,0.004414,0.000883,53,40,24.5,13,5,61.5,116,58,50.0,41,28,68.3,58,37,36.2,28,6,78.6
173,fast_casual,Fast Casual / QSR,41,130,100-150%,"NRA, QSR Magazine",104.9,47.6,80.5,39,730,57.3,0.009902,0.00198,0.004562,0.000912,41,38,7.3,3,2,33.3,139,64,46.0,37,21,56.8,64,42,34.4,21,5,76.2
174,high_volume_chain,High Volume Chain,76,100,100%+,"BLS, Black Box Intelligence",112.8,60.5,89.5,92,730,52.3,0.009016,0.001803,0.005156,0.001031,76,64,15.8,12,6,50.0,221,96,43.4,81,46,56.8,96,66,31.2,46,15,67.4
175,college_town_cafe,College Town Cafe,40,90,90%+,BLS (seasonal/student workforce),141.8,50.0,97.5,40,730,91.8,0.00857,0.001714,0.00575,0.00115,40,31,22.5,9,6,33.3,123,54,43.9,32,24,75.0,54,39,27.8,24,7,70.8
176,airport_restaurant,Airport Restaurant,68,82,80%+,BLS (transient labor market),79.2,42.6,69.1,58,730,36.5,0.006938,0.001388,0.004562,0.000912,68,50,26.5,18,8,55.6,152,77,50.7,51,35,68.6,77,51,33.8,35,7,80.0
177,sports_bar,Sports Bar,63,78,75-80%,"NRA, 7shifts",71.5,41.3,61.9,52,730,30.2,0.006678,0.001336,0.004377,0.000875,63,53,15.9,10,4,60.0,134,75,56.0,45,32,71.1,75,50,33.3,32,6,81.2
178,bar_and_grille,Bar & Grille,58,78,75-80%,"NRA, Black Box Intelligence",72.6,39.7,63.8,46,730,33.0,0.006789,0.001358,0.004562,0.000912,58,44,24.1,14,7,50.0,117,63,53.8,37,25,67.6,63,37,41.3,25,9,64.0
179,hotel_restaurant,Hotel Restaurant,48,78,75-80%,"Cornell Hotel School, BLS",66.7,50.0,62.5,48,730,16.7,0.006919,0.001384,0.004562,0.000912,48,33,31.2,15,7,53.3,96,52,54.2,42,26,61.9,52,38,26.9,26,5,80.8
180,family_diner,Family Diner,25,78,75-80%,NRA,64.3,48.0,68.0,24,730,16.3,0.006789,0.001358,0.00575,0.00115,25,20,20.0,5,2,60.0,50,28,56.0,22,14,63.6,28,19,32.1,14,3,78.6
181,breakfast_cafe,Breakfast Cafe,27,78,75-80%,"NRA, Homebase",79.0,77.8,70.4,42,730,1.2,0.00857,0.001714,0.006047,0.001209,27,20,25.9,7,4,42.9,58,31,53.4,39,21,53.8,31,23,25.8,21,8,61.9
182,upscale_casual,Upscale Casual,54,75,70-80%,Black Box Intelligence,84.8,35.2,64.8,38,730,49.7,0.006641,0.001328,0.003969,0.000794,54,42,22.2,12,4,66.7,120,59,49.2,35,26,74.3,59,34,42.4,26,8,69.2
183,neighborhood_bistro,Neighborhood Bistro,36,75,70-80%,NRA,85.8,38.9,52.8,28,730,46.9,0.006789,0.001358,0.00575,0.00115,36,23,36.1,13,5,61.5,70,35,50.0,26,19,73.1,35,24,31.4,19,4,78.9
184,steakhouse,Steakhouse / Fine Dining,51,60,50-70%,Cornell Hotel School,79.3,47.1,62.7,48,730,32.2,0.006344,0.001269,0.004414,0.000883,51,40,21.6,11,7,36.4,106,56,52.8,45,31,68.9,56,39,30.4,31,3,90.3
185,fast_casual,Fast Casual / QSR,45,130,100-150%,"NRA, QSR Magazine",178.4,46.7,73.3,42,730,131.8,0.009902,0.00198,0.004562,0.000912,45,41,8.9,4,2,50.0,174,88,50.6,37,20,54.1,88,65,26.1,20,5,75.0
186,high_volume_chain,High Volume Chain,70,100,100%+,"BLS, Black Box Intelligence",136.9,50.0,87.1,70,730,86.9,0.009016,0.001803,0.005156,0.001031,70,67,4.3,3,1,66.7,236,102,43.2,62,38,61.3,102,68,33.3,38,12,68.4
187,college_town_cafe,College Town Cafe,36,90,90%+,BLS (seasonal/student workforce),94.3,51.4,102.8,37,730,42.9,0.00857,0.001714,0.00575,0.00115,36,32,11.1,4,0,100.0,113,42,37.2,31,20,64.5,42,28,33.3,20,7,65.0
188,airport_restaurant,Airport Restaurant,65,82,80%+,BLS (transient labor market),102.0,53.8,67.7,70,730,48.1,0.006938,0.001388,0.004562,0.000912,65,54,16.9,11,5,54.5,167,86,51.5,65,42,64.6,86,67,22.1,42,6,85.7
189,sports_bar,Sports Bar,57,78,75-80%,"NRA, 7shifts",76.6,45.6,56.1,52,730,31.0,0.006678,0.001336,0.004377,0.000875,57,40,29.8,17,5,70.6,110,56,50.9,47,29,61.7,56,37,33.9,29,8,72.4
190,bar_and_grille,Bar & Grille,60,78,75-80%,"NRA, Black Box Intelligence",71.5,39.2,78.3,47,730,32.4,0.006789,0.001358,0.004562,0.000912,60,47,21.7,13,4,69.2,103,73,70.9,40,27,67.5,73,46,37.0,27,9,66.7
191,hotel_restaurant,Hotel Restaurant,48,78,75-80%,"Cornell Hotel School, BLS",63.6,30.2,60.4,29,730,33.4,0.006919,0.001384,0.004562,0.000912,48,38,20.8,10,4,60.0,90,54,60.0,29,21,72.4,54,31,42.6,21,3,85.7
192,family_diner,Family Diner,26,78,75-80%,NRA,50.4,65.4,38.5,34,730,-15.0,0.006789,0.001358,0.00575,0.00115,26,19,26.9,7,4,42.9,43,27,62.8,30,19,63.3,27,21,22.2,19,5,73.7
193,breakfast_cafe,Breakfast Cafe,24,78,75-80%,"NRA, Homebase",147.4,91.7,83.3,44,730,55.7,0.00857,0.001714,0.006047,0.001209,24,21,12.5,3,2,33.3,88,34,38.6,38,18,47.4,34,25,26.5,18,9,50.0
194,upscale_casual,Upscale Casual,50,75,70-80%,Black Box Intelligence,90.6,25.0,44.0,25,730,65.6,0.006641,0.001328,0.003969,0.000794,50,35,30.0,15,6,60.0,113,53,46.9,22,17,77.3,53,29,45.3,17,3,82.4
195,neighborhood_bistro,Neighborhood Bistro,40,75,70-80%,NRA,62.9,65.0,55.0,52,730,-2.1,0.006789,0.001358,0.00575,0.00115,40,29,27.5,11,7,36.4,60,40,66.7,45,29,64.4,40,28,30.0,29,9,69.0
196,steakhouse,Steakhouse / Fine Dining,55,60,50-70%,Cornell Hotel School,82.6,32.7,67.3,36,730,49.9,0.006344,0.001269,0.004414,0.000883,55,41,25.5,14,6,57.1,117,66,56.4,31,23,74.2,66,39,40.9,23,8,65.2
197,fast_casual,Fast Casual / QSR,42,130,100-150%,"NRA, QSR Magazine",142.8,47.6,95.2,40,730,95.2,0.009902,0.00198,0.004562,0.000912,42,35,16.7,7,4,42.9,145,63,43.4,34,23,67.6,63,46,27.0,23,7,69.6
198,high_volume_chain,High Volume Chain,79,100,100%+,"BLS, Black Box Intelligence",98.8,56.3,112.7,89,730,42.5,0.009016,0.001803,0.005156,0.001031,79,66,16.5,13,10,23.1,231,108,46.8,83,54,65.1,108,77,28.7,54,14,74.1
199,college_town_cafe,College Town Cafe,39,90,90%+,BLS (seasonal/student workforce),94.3,70.5,69.2,55,730,23.8,0.00857,0.001714,0.00575,0.00115,39,28,28.2,11,8,27.3,82,37,45.1,40,23,57.5,37,27,27.0,23,8,65.2
200,airport_restaurant,Airport Restaurant,66,82,80%+,BLS (transient labor market),64.7,62.9,75.8,83,730,1.8,0.006938,0.001388,0.004562,0.000912,66,58,12.1,8,4,50.0,147,80,54.4,75,44,58.7,80,60,25.0,44,9,79.5
